Living in Saanich,,,,,
,About Saanich,,,,
,,Get Involved,,,
,,,Events & Calendars,,
,,,,Weather & Building Advisories,
,,,Online Community,,
,,,,What is RSS?,
,,,Projects & Development,,
,,,Volunteer Opportunities,,
,,,Public Participation: Working Together,,
,,Website Information,,,
,,,Contact the Municipality,,
,,,Feedback Form,,
,,,Privacy and Disclaimer,,
,,,Sitemap,,
,,News ,,,
,,,Latest News and Public Notices,,
,,,,News Story 1,
,,,,News Story 2,
,,,,News Story 3,
,,,Community Engagement,,
,,I Want To...,,,
,,,Apply For…,,
,,,Business Licence,,
,,,Community Grants,,
,,,Dog Licence,,
,,,Home Owner Grant,,
,,,Jobs,,
,,,Permits,,
,,,Register For…,,
,,,Backyard Chickens,,
,,,Carbon Champions,,
,,,Communities in Harvest,,
,,,Newsletters,,
,,,Recreation Program,,
,,,Volunteering,,
,,,Learn About,,
,,,Board of Variance,,
,,,Community Plans,,
,,,Emergency Program,,
,,,Food Security,,
,,,Open Data,,
,,,Parking Offence Notices,,
,,,Saanich Archives,,
,,,Water Restrictions,,
,,,Saanich Logo Usage,,
,,,Pay For,,
,,,Business Licence,,
,,,Dog Licence,,
,,,Utility Bill,,
,,,Parking Ticket,,
,,,Property Taxes,,
,,,Report,,
,,,Graffiti,,
,,,Road Conditions,,
,,,Spill,,
,,,Street Light Out,,
,,,Traffic Signals,,
,,,View,,
,,,Bylaws & Policies,,
,,,Garbage Schedules,,
,,,Garden Waste Cam,,
,,,MySaanich Account,,
,,,Property Information,,
,,,Traffic Advisories,,
,,,Apply For Permits,,
,,,,Parks & Recreation,
,,,,Parks Research Permit,
,,,,Park/Sports Field Permit (Book a park),
,,,,Special Event Permit,
,,,,Tree Permit,
,,,,Engineering,
,,,,Boulevard Permit,
,,,,Road Allowance & Special Vehicle Permits,
,,,,Development,
,,,,Building & Development Permits,
,,,,Development Applications,
,,,,Environmental Development Permit Area (EPDA),
,,,,Heritage Alteration Requests,
,,,,Rezoning Process,
,,,,Secondary Suites,
,,,,Subdivision Approval Process,
,,,,Other,
,,,,Outdoor Burning,
,,,,Solar Hot Water,
,,,View Online Payments & Interactive Services,,
,Active Saanich,,,,
,,Active Tips,,,
,,Facts & Figures,,,
,,Overview,,,
,Agriculture and Food Security,,,,
,,Communities in Harvest Program,,,
,,About Agriculture & Food Security,,,
,,Current Policies and Regulations,,,
,,Community Gardens,,,
,,Connecting People to Local Food,,,
,,Community Resources,,,
,,Peninsula Agricultural Commission,,,
,,Environment and Food,,,
,Bylaws and Policies,,,,
,Community Associations,,,,
,Community Grants,,,,
,,Operating Grants,,,
,,Project Grants,,,
,Community Planning,,,,
,,Official Community Plan,,,
,,Development Permit Guidelines,,,
,,Legal Secondary Suites,,,
,,Backyard Chickens,,,
,,,Backyard Chickens General,,
,,,Hen Registration,,
,,,Bylaw Review & Survey Results,,
